,Username,ChampionToPredict,TierRankName,TierRank,LadderRank,TopChamp_S2022,TopChamp_Last20,AvgK_Last20,AvgD_Last20,AvgA_Last20,PrefPosition_Last20,LastPlayedChamp,LastPlayedResult
1132,1m on Putin Head,Miss Fortune,silver 4,9,"862,610",Teemo,Miss Fortune,5.0,6.0,3.6,Top,Miss Fortune,1
1133,Moholeavyg,Lucian,silver 4,9,"862,700",Zac,Darius,6.7,7.3,4.1,Jungle,Darius,0
1134,Chili Belz,Seraphine,silver 4,9,"862,701",Nami,Seraphine,3.6,5.9,13.9,Support,Seraphine,1
1135,BOOHOOHAHA,Caitlyn,silver 4,9,"862,690",Ezreal,Ezreal,5.1,4.8,5.9,Bottom,Caitlyn,0
1136,Ndraynatanaie,Yone,silver 4,9,"862,679",Yone,Yone,5.5,5.7,5.6,Middle,Yone,0
1137,wjdgus242,Ezreal,bronze 2,7,"1,022,937",Ezreal,Ezreal,8.2,5.0,6.7,Bottom,Ezreal,0
1138,Easterngunzs,Cho'Gath,bronze 2,7,"1,022,993",Varus,Cho'Gath,7.5,5.0,6.9,Top,Cho'Gath,0
1139,madpumpkin,Nasus,bronze 2,7,"1,022,998",Kassadin,Ahri,8.4,7.6,7.2,Middle,Sivir,0
1140,Average Hanzo NA,Malphite,bronze 2,7,"1,022,930",Viego,Twisted Fate,2.0,2.5,8.5,Middle,Twisted Fate,1
1141,AngrY RageZ,Rumble,bronze 2,7,"1,022,988",Rumble,Rumble,8.2,7.4,7.5,Top,Ahri,0
1142,This Is Loseable,Quinn,bronze 3,6,"1,107,298",Gangplank,Gangplank,7.0,5.6,5.9,Support,Thresh,0
1143,BurlyLe,Sett,bronze 3,6,"1,107,283",Sett,Sett,4.3,3.8,5.3,Top,Dr. Mundo,1
1144,Warsar,Morgana,silver 1,12,"423,839",Thresh,Thresh,2.1,5.3,16.1,Support,Thresh,1
1145,NanoMcewan,Evelynn,silver 1,12,"423,838",Nocturne,Evelynn,6.9,5.4,7.1,Jungle,Pantheon,1
1146,Linhsane,Kayn,silver 1,12,"423,848",Kayn,Katarina,10.3,7.6,14.7,Jungle,Samira,0
1147,Mr LeBronzeJames,Volibear,silver 1,12,"423,816",Sett,Gangplank,4.6,6.7,6.8,Top,Gangplank,0
1148,Feraderros,Kindred,silver 1,12,"423,885",Kindred,Kindred,7.1,5.4,5.6,Jungle,Kindred,0
1149,573,Akshan,silver 1,12,"423,893",Jax,Jax,4.8,6.6,4.3,Top,Viego,0
1150,Sofa King Gud,Ezreal,silver 1,12,"423,878",Ezreal,Ezreal,9.8,6.1,8.5,Bottom,Jax,0
1151,In The River,Lee Sin,bronze 4,5,"1,221,814",Akali,Akali,7.6,8.4,5.9,Jungle,Riven,0
1152,Cotji,Pyke,bronze 4,5,"1,221,829",Senna,Morgana,3.0,4.4,9.7,Support,Senna,1
1153,junnaganghe,Seraphine,bronze 4,5,"1,221,859",Senna,Neeko,5.3,6.1,10.2,Support,Neeko,0
1154,iFukedAbearOnce,Fiora,bronze 4,5,"1,221,828",Akali,Akali,4.4,6.4,4.8,Middle,Akali,1
1155,fishcona,Nautilus,bronze 4,5,"1,221,816",Warwick,Warwick,0.3,2.4,1.7,Jungle,Morgana,1
1156,FFApresident07,Warwick,bronze 4,5,"1,221,849",Sejuani,Mordekaiser,4.3,6.4,7.8,Top,Nautilus,0
1157,thefirstgeno,Nidalee,bronze 4,5,"1,221,869",Caitlyn,Xayah,7.2,6.5,12.7,Bottom,Irelia,0
1158,nahuatl13,Zyra,bronze 4,5,"1,180,577",Zyra,Fizz,4.6,7.4,6.2,Jungle,Twitch,0
1159,Crooked Penile,Heimerdinger,bronze 4,5,"1,180,515",Nasus,Dr. Mundo,4.4,8.7,6.1,Top,Heimerdinger,0
1160,SingedIsDad,Heimerdinger,bronze 4,5,"1,180,513",Singed,Singed,3.6,8.5,8.9,Top,Heimerdinger,0
1161,temptedrush,Darius,bronze 4,5,"1,180,533",Graves,Graves,9.0,5.9,6.7,Top,Pyke,1
1162,Saint god,Sett,bronze 4,5,"1,180,564",Ezreal,Caitlyn,4.8,4.5,8.9,Bottom,Samira,1
1163,PageuMeMp,Ekko,gold 1,16,"168,263",Ekko,Ekko,11.8,6.9,5.6,Jungle,Ekko,0
1164,Knight Timaeus,Tryndamere,gold 1,16,"168,270",Warwick,Warwick,7.0,4.6,8.0,Jungle,Tryndamere,0
1165,incorrect nam,Zed,gold 1,16,"168,301",Jinx,Xayah,5.9,6.3,10.6,Bottom,Xayah,0
1166,SirSlothTheThird,Gangplank,gold 1,16,"168,290",Garen,Gangplank,9.1,5.8,6.4,Middle,Nasus,1
1167,MrRetrox,Jhin,gold 1,16,"168,268",Aatrox,Volibear,9.3,4.8,5.6,Jungle,Diana,0
1168,TheseFineAssK1ds,Urgot,gold 1,16,"168,281",Urgot,Urgot,8.9,7.1,12.6,Top,Malzahar,1
1169,ThickJuicyPickle,Morgana,gold 1,16,"168,300",Nami,Nami,2.9,5.4,15.3,Support,Janna,1
1170,Dupsko,Tristana,gold 4,13,"414,683",Master Yi,Garen,7.8,8.5,6.3,Jungle,Garen,1
1171,RoflBots,Corki,gold 4,13,"414,639",Kog'Maw,Jhin,10.3,5.2,7.3,Bottom,Jhin,1
1172,smoovin,Lucian,gold 4,13,"414,629",Kai'Sa,Samira,20.6,5.8,6.4,Bottom,Kai'Sa,1
1173,KingOfTheFurries,Yasuo,gold 4,13,"414,649",Diana,Diana,9.6,6.3,9.9,Jungle,Diana,0
1174,xxxLpxx,Blitzcrank,gold 4,13,"414,663",Sylas,Blitzcrank,1.2,7.5,7.1,Support,Blitzcrank,1
1175,lQuadI,Nidalee,gold 4,13,"414,610",LeBlanc,Ezreal,10.4,5.5,5.7,Bottom,Kai'Sa,0
1176,hotfishtacos,Lux,bronze 2,7,"1,068,429",Tryndamere,Lux,3.4,6.2,10.8,Support,Lux,0
1177,KNIGHT SIR LORD,Heimerdinger,bronze 2,7,"1,068,430",Malzahar,Yorick,4.8,7.9,8.6,Middle,Malzahar,1
1178,qwoltra,Jinx,bronze 2,7,"1,068,429",Kayn,Jinx,8.0,6.3,8.6,Jungle,Jinx,1
1179,KindlyGoAway,Kindred,bronze 2,7,"1,068,407",Soraka,Soraka,2.6,5.2,11.3,Support,Janna,0
1180,Kirikage,Shen,bronze 2,7,"1,068,455",Katarina,Shen,7.6,6.5,6.7,Middle,Sett,0
1181,AhhItsTaim,Ashe,bronze 4,5,"1,197,137",Riven,Samira,12.3,8.0,7.3,Bottom,Samira,1
1182,QueenOfBiches,Renata Glasc,bronze 4,5,"1,197,107",Zeri,Renata Glasc,3.9,8.6,8.6,Middle,Illaoi,0
1183,DrRickMarshallWe,Pantheon,bronze 4,5,"1,197,168",Cho'Gath,Tristana,4.3,7.3,2.7,Middle,Tristana,1
1184,Nvme18,Lux,bronze 4,5,"1,197,149",Leona,Ahri,6.0,7.1,7.8,Support,Lux,1
1185,uMAD Git,Ashe,iron 1,4,"1,270,199",Amumu,Amumu,5.4,7.1,13.0,Jungle,Amumu,1
1186,Keryen,Yuumi,iron 1,4,"1,270,131",Yuumi,Yuumi,2.8,4.3,18.5,Support,Yuumi,0
1187,FredHBSH,Soraka,iron 1,4,"1,270,122",Morgana,Kai'Sa,4.1,9.2,9.5,Bottom,Morgana,1
1188,Lukiwan,Udyr,iron 1,4,"1,270,193",Volibear,Udyr,7.7,6.2,7.4,Jungle,Wukong,0
1189,mzdaspeed6,Varus,iron 1,4,"1,270,174",Varus,Varus,5.3,7.0,4.4,Middle,Varus,0
1190,YHS Wolf,Jarvan IV,iron 1,4,"1,270,183",Shaco,Jarvan IV,4.0,6.2,8.1,Jungle,Jarvan IV,0
1191,Keeeeewo,Yone,bronze 2,7,"1,060,485",Shaco,Yone,6.5,6.4,7.5,Jungle,Zac,1
1192,solarant,Jax,bronze 2,7,"1,060,479",Urgot,Jax,8.1,7.4,6.8,Bottom,Diana,0
1193,NoobieNightmare,Gnar,bronze 2,7,"1,060,467",Ahri,Gnar,4.5,6.6,9.8,Support,Gnar,1
1194,Diradnyarvux,Katarina,bronze 2,7,"1,060,446",Zeri,Katarina,8.0,4.7,7.3,Support,Katarina,0
1195,skaampie,Qiyana,bronze 2,7,"1,060,483",Qiyana,Qiyana,6.2,6.9,6.5,Middle,Qiyana,1
1196,ApprehensiveFrog,Nami,bronze 2,7,"1,060,436",Zyra,Blitzcrank,1.2,5.4,9.9,Support,Blitzcrank,1
1197,Zonormy,Sett,bronze 2,7,"1,060,439",Caitlyn,Zed,6.7,5.2,6.7,Middle,Malphite,1
1198,Tógen,Fizz,bronze 2,7,"1,060,439",Fizz,Kennen,10.0,7.6,7.1,Middle,Kennen,1
1199,DaddyRát,Urgot,bronze 2,7,"1,060,418",Kayle,Kayle,5.1,6.4,4.3,Top,Sylas,1
1200,dinkle,Sivir,silver 4,9,"780,659",Karma,Shyvana,7.0,6.0,3.5,Bottom,Vayne,0
1201,KingKoolor,Brand,silver 4,9,"780,617",Lux,Brand,6.9,5.7,6.0,Jungle,Brand,1
1202,SleepingShadow20,Darius,silver 4,9,"780,631",Kha'Zix,Gangplank,4.5,9.0,6.8,Top,Ornn,1
1203,shäwty kinda bad,Singed,silver 4,9,"780,696",Hecarim,Hecarim,8.3,5.5,6.4,Jungle,Singed,1
1204,ShadowTrip57,Volibear,silver 4,9,"780,649",Lux,Volibear,4.3,8.3,12.6,Support,Volibear,1
1205,pietrogone,Lissandra,silver 4,9,"780,683",Soraka,Lissandra,3.4,8.9,10.3,Support,Lissandra,1
1206,Zenisdrlp,Kayn,silver 4,9,"780,611",Lillia,Lillia,7.5,4.5,5.9,Jungle,Yuumi,0
1207,Desidera,Soraka,silver 4,9,"780,694",Soraka,Soraka,2.8,5.8,12.2,Support,Lulu,0
1208,kendy2,Kayle,gold 4,13,"413,504",Riven,Aatrox,7.0,7.0,5.2,Top,Aatrox,0
1209,PuppyLona,Tahm Kench,gold 4,13,"413,542",Bard,Bard,4.0,6.7,15.1,Support,Braum,0
1210,ÕÜÍÎÜÖÍÎÔÛÎÎÜÖÏÏ,Malphite,gold 4,13,"413,541",Vel'Koz,Vel'Koz,9.5,5.5,10.8,Middle,Vel'Koz,0
1211,Deags,Teemo,gold 4,13,"413,578",Draven,Ezreal,8.2,5.0,6.5,Bottom,Teemo,1
1212,Gus0,Draven,gold 4,13,"413,590",Graves,Twitch,3.8,6.2,4.2,Middle,Corki,0
1213,PantyHouse,Xayah,gold 4,13,"413,554",Kai'Sa,Kai'Sa,6.0,6.8,7.8,Middle,Samira,0
1214,EvilDougie,Taliyah,gold 4,13,"413,527",Ahri,Sylas,7.7,5.0,10.6,Middle,Fizz,0
1215,chunkyricee,Zed,gold 4,13,"413,546",Zed,Zed,11.6,7.4,5.0,Middle,Zed,0
1216,relxludouice,Fiora,silver 4,9,"871,706",Lux,Darius,3.6,5.7,7.9,Support,Veigar,0
1217,PWvx 552342585,Ahri,silver 4,9,"871,730",Graves,Ahri,4.1,10.5,6.9,Middle,Aphelios,0
1218,FromGodToBaguett,Diana,silver 4,9,"871,759",Rammus,Diana,8.4,8.1,15.4,Jungle,Diana,0
1219,MagnificentMoo,Nunu & Willump,silver 4,9,"871,723",Nunu & Willump,Rengar,6.4,5.2,8.1,Top,Shyvana,0
1220,Lucif3r6666,Ashe,silver 4,9,"871,742",Nautilus,Miss Fortune,3.8,7.5,7.1,Bottom,Caitlyn,0
1221,kennzaki,Kayn,bronze 2,7,"1,078,244",Nunu & Willump,Nunu & Willump,3.5,6.4,8.3,Jungle,Warwick,1
1222,seanwashere,Tristana,bronze 2,7,"1,078,263",Caitlyn,Sivir,4.9,5.3,5.5,Bottom,Sivir,-1
1223,lTzNut,Vayne,bronze 2,7,"1,078,276",Fizz,Morgana,2.5,6.2,6.3,Bottom,Morgana,1
1224,Arendumbruh,Nautilus,bronze 2,7,"1,078,207",Pyke,Pyke,4.3,4.8,8.7,Support,Pantheon,0
1225,OMG Kanye West,Ziggs,bronze 4,5,"1,188,968",Udyr,Udyr,5.0,4.3,3.8,Middle,Ahri,1
1226,WhatDatAsheDoDoe,Tahm Kench,bronze 4,5,"1,188,926",Miss Fortune,Yuumi,3.4,5.2,6.6,Support,Kled,0
1227,Keltars,Malzahar,bronze 4,5,"1,188,906",Ziggs,Morgana,6.8,9.4,8.6,Support,Morgana,0
1228,CutiePaTooty,Morgana,bronze 4,5,"1,188,994",Lux,Orianna,4.3,6.2,10.0,Middle,Orianna,0
1229,CocaCola1886,Renata Glasc,platinum 3,18,"63,919",Aurelion Sol,Aurelion Sol,5.3,6.6,9.6,Middle,Aatrox,0
1230,VITAL9,Draven,platinum 3,18,"63,933",Hecarim,Draven,6.6,6.2,7.8,Bottom,Draven,1
1231,Iosers queue irI,Kayle,platinum 3,18,"63,928",Kayle,Thresh,6.8,7.3,14.5,Support,Kayle,1
1232,Interdiction,Vladimir,platinum 3,18,"63,988",Vladimir,Vladimir,7.6,4.8,9.0,Middle,Ezreal,0
1233,uwu cob,Yorick,platinum 3,18,"63,938",Urgot,Katarina,5.8,5.8,5.6,Top,Katarina,1
1234,Todökanai Koi,Akali,platinum 3,18,"63,992",Riven,Xayah,6.8,6.9,16.3,Bottom,Karthus,1
1235,GLaYD8,Fiora,platinum 3,18,"63,987",Aphelios,Aphelios,6.2,5.9,6.3,Bottom,Aatrox,0
1236,ThisMyJams,Veigar,platinum 3,18,"63,971",Poppy,Volibear,4.7,5.2,10.4,Jungle,Nautilus,1
1237,LordTouchMe,Renekton,platinum 3,18,"63,985",Fizz,Akshan,11.8,8.8,16.4,Top,Tristana,1
1238,Slave,Evelynn,platinum 3,18,"63,988",Sona,Ryze,9.9,7.9,10.0,Jungle,Karma,0
1239,TheArmoredTitant,Zed,gold 1,16,"148,224",Vladimir,Zed,4.8,6.1,5.6,Middle,Orianna,-1
1240,HonDon12,Veigar,gold 1,16,"148,259",Veigar,Veigar,11.5,5.4,5.1,Middle,Veigar,1
1241,McCray,Rumble,gold 1,16,"148,230",Zeri,Sion,9.7,6.6,14.4,Jungle,Sion,1
1242,Chop4life,Sion,gold 1,16,"148,255",Diana,Nocturne,8.2,5.1,6.9,Jungle,Nocturne,0
1243,MainFeedwill QAQ,Lee Sin,gold 1,16,"148,272",Darius,Darius,7.7,6.9,13.5,Top,Xayah,0
1244,CritMyCranium,Graves,gold 1,16,"148,210",Jhin,Ornn,8.5,9.5,19.0,Bottom,Illaoi,1
1245,Nightrod1996,Kayn,gold 1,16,"148,269",Tristana,Tryndamere,5.4,7.9,7.2,Middle,Zeri,0
1246,Pythom,Thresh,gold 1,16,"148,275",Rell,Thresh,1.1,5.7,11.3,Support,Leona,0
1247,ADC Xerath,Xerath,gold 1,16,"148,290",Xerath,Morgana,5.7,6.1,10.2,Middle,Xerath,0
1248,StrikEr365,Annie,iron 2,3,"1,272,450",Vladimir,Annie,4.6,9.2,9.0,Middle,Qiyana,0
1249,TanCorgi273840,Warwick,iron 2,3,"1,272,428",Yasuo,Warwick,7.9,6.7,6.3,Jungle,Diana,1
1250,GorbashYeti,Yasuo,iron 2,3,"1,272,460",Tryndamere,Tryndamere,9.1,7.4,6.2,Top,Viego,1
1251,RedStar RubySky,Tristana,iron 2,3,"1,272,471",Caitlyn,Caitlyn,5.3,5.9,6.4,Bottom,Vladimir,0
1252,Visby,Nunu & Willump,iron 2,3,"1,272,441",Nunu & Willump,Teemo,8.4,9.3,6.8,Jungle,Nunu & Willump,0
1253,DominantCoyote,Brand,iron 2,3,"1,272,470",Senna,Senna,2.4,6.1,13.3,Support,Brand,-1
1254,DadisDrunkAgain,Lux,iron 2,3,"1,272,419",Morgana,Morgana,1.9,4.9,7.6,Support,Morgana,1
1255,amboam,Xin Zhao,iron 2,3,"1,272,436",Irelia,Irelia,6.5,7.5,5.5,Jungle,Xin Zhao,1
1256,Roscastlet,Soraka,bronze 3,6,"1,089,869",Zeri,Zilean,7.2,5.7,12.8,Middle,Akali,0
1257,crymorelittlebih,Trundle,bronze 3,6,"1,089,825",Urgot,Trundle,6.4,8.8,5.1,Top,Jax,0
1258,IHeimerdinger,Sion,bronze 3,6,"1,089,812",Kled,Kled,4.0,6.1,6.6,Top,Rammus,0
1259,Insolki,Nasus,bronze 3,6,"1,089,870",Nasus,Nasus,6.1,6.3,6.5,Top,Kayle,0
1260,HarrycYlS,Kai'Sa,gold 4,13,"305,835",Vladimir,Vladimir,8.6,8.2,5.7,Top,Kai'Sa,0
1261,clearcrush,Ashe,gold 4,13,"305,809",Jinx,Ashe,9.1,6.9,11.3,Bottom,Katarina,0
1262,Fahrenheit 451,Syndra,gold 4,13,"305,814",Annie,Malphite,6.1,6.3,12.9,Support,Karma,1
1263,Phoenixs,Renata Glasc,gold 4,13,"305,875",Sett,Renata Glasc,5.8,6.7,8.2,Top,Rumble,1
1264,Ryzicane,Akali,gold 4,13,"305,813",Akali,Akali,8.1,5.0,5.0,Middle,Kayle,0
1265,bikersarebirds,Kai'Sa,gold 4,13,"305,892",Jhin,Jinx,10.2,8.3,5.9,Bottom,Jhin,1
1266,Rans0m,Sion,gold 4,13,"305,883",Aatrox,Aatrox,5.6,5.2,6.6,Top,Caitlyn,1
1267,fuhknelan,Alistar,gold 4,13,"305,845",Twisted Fate,Gangplank,7.7,7.4,8.9,Middle,Sion,1
1268,Boafpha,Lux,diamond 1,24,"4,132",Lux,Lux,4.8,7.5,11.4,Support,Lux,0
1269,Randex1,Neeko,diamond 1,24,"4,195",Yasuo,Yone,9.4,6.7,11.6,Top,Caitlyn,0
1270,SirValkyrie,Akshan,diamond 1,24,"4,143",Miss Fortune,Kog'Maw,7.1,6.9,5.9,Bottom,Ahri,1
1271,Koligno,Jinx,diamond 1,24,"4,107",Jinx,Jinx,7.1,3.4,5.3,Bottom,Jinx,1
1272,Thorn Queen,Seraphine,diamond 1,24,"4,109",Shaco,Shaco,3.9,3.8,12.4,Support,Shaco,1
1273,Temetrius Morant,Viktor,diamond 1,24,"4,153",Viktor,Viktor,4.4,5.3,9.2,Middle,Viktor,1
1274,Suey,Blitzcrank,diamond 1,24,"4,163",Yuumi,Yuumi,5.5,4.7,14.6,Support,Brand,1
1275,Iuap,Zed,diamond 1,24,"4,105",Akali,Akali,5.2,4.9,5.5,Middle,Akali,0
1276,WoWoWolf,Rumble,diamond 1,24,"4,108",Ekko,Rumble,8.7,5.5,7.3,Jungle,Rumble,1
1277,Alastair,Jinx,diamond 1,24,"4,133",Jinx,Jinx,5.7,3.7,5.0,Bottom,Veigar,1
1278,xThotLordx,Kindred,bronze 3,6,"1,117,160",Viego,Viego,10.5,9.1,9.0,Jungle,Shaco,1
1279,Kâkâshi007,Zed,bronze 3,6,"1,117,109",Yasuo,Viego,6.6,6.5,8.8,Middle,Yasuo,0
1280,Sparky626,Ekko,bronze 3,6,"1,117,118",Ekko,Kai'Sa,6.9,8.9,9.0,Bottom,Rengar,0
1281,mochiey,Twitch,bronze 3,6,"1,117,165",Twitch,Twitch,15.4,6.7,5.9,Jungle,Twitch,1
1282,Grucci420,Karthus,bronze 3,6,"1,117,134",Gwen,Ivern,4.1,9.3,7.1,Jungle,Senna,0
1283,Hidden091,Zeri,bronze 3,6,"1,117,161",Yone,Zeri,8.8,7.0,6.1,Middle,Zeri,0
1284,ff season 11,Jhin,bronze 3,6,"1,117,172",Xerath,Jinx,6.0,6.7,8.4,Support,Jinx,1
1285,YT AlucardsTomb,Miss Fortune,bronze 1,8,"891,941",Morgana,Ashe,3.7,6.7,12.5,Support,Ashe,0
1286,Freakz,Jax,bronze 1,8,"891,910",Vayne,Lucian,8.9,6.5,12.7,Bottom,Miss Fortune,1
1287,KEVerly,Zed,bronze 1,8,"891,905",Zed,Zed,13.2,5.1,11.9,Middle,Zilean,1
1288,Hobomassacre,Kennen,bronze 1,8,"891,956",Hecarim,Mordekaiser,14.4,2.1,6.8,Jungle,Taliyah,1
1289,PunaniSlayed,Irelia,bronze 1,8,"891,996",Yasuo,Yasuo,8.0,4.9,5.6,Middle,Riven,0
1290,Cptn Canada,Illaoi,bronze 1,8,"891,958",Gangplank,Gangplank,8.0,7.6,12.7,Top,Renata Glasc,0
1291,Swagucci,Ezreal,bronze 1,8,"891,942",Ezreal,Ezreal,6.3,7.1,10.0,Bottom,Ekko,0
1292,The Glazer,Pyke,bronze 1,8,"891,992",Udyr,Zac,6.6,5.6,9.2,Jungle,Morgana,0
1293,Clutchingzz,Azir,iron 2,3,"1,286,736",Aphelios,Kai'Sa,5.5,7.5,7.7,Middle,Yone,1
1294,MaTwep,Pantheon,iron 2,3,"1,286,740",Kindred,Irelia,2.0,7.5,2.5,Top,Irelia,0
1295,Cill Bosby 420,Zoe,iron 2,3,"1,286,723",Jhin,Viktor,6.2,8.2,6.0,Middle,Viktor,0
1296,BandFreak48,Jhin,iron 2,3,"1,286,773",Tristana,Tristana,6.1,5.8,7.1,Bottom,Tristana,0
1297,coldchips,Jinx,iron 2,3,"1,286,734",Poppy,Lillia,4.9,6.0,6.9,Jungle,Lillia,0
1298,Tess Tikle,Zed,iron 2,3,"1,286,774",Katarina,Katarina,8.8,8.7,6.1,Middle,Katarina,0
1299,TheMadJoker09,Shaco,iron 2,3,"1,286,788",Yone,Yone,5.5,7.2,5.4,Middle,Jhin,1
1300,troy071,Urgot,bronze 1,8,"977,539",Urgot,Urgot,4.1,6.0,4.0,Top,Urgot,0
1301,0opsNoMana,Talon,bronze 1,8,"977,585",Ahri,Ahri,7.4,3.9,7.4,Middle,Talon,1
1302,Dorkytina,Lux,bronze 1,8,"977,594",Nami,Lux,5.9,7.9,21.1,Support,Jinx,1
1303,TooLoud,Miss Fortune,bronze 1,8,"977,530",LeBlanc,Katarina,6.9,6.8,6.6,Middle,Amumu,1
1304,Simp4Coookiee,Sivir,bronze 1,8,"977,572",Kayn,Kayn,4.4,6.6,5.8,Bottom,Cho'Gath,0
1305,J4rvis,Teemo,bronze 1,8,"977,521",Teemo,Teemo,5.1,5.5,5.4,Top,Teemo,1
1306,Shuriken,Pyke,silver 1,12,"465,696",Pyke,Pyke,11.5,5.8,6.5,Middle,Pyke,1
1307,Tanky Asol,Jax,silver 1,12,"465,679",Teemo,Aurelion Sol,2.9,6.3,6.7,Top,Aurelion Sol,0
1308,hot girl shït,Katarina,silver 1,12,"465,685",Katarina,Katarina,8.5,6.8,6.8,Middle,Vayne,1
1309,MådaraUchiha,Caitlyn,silver 1,12,"465,689",Jhin,Ezreal,6.7,4.6,8.6,Support,Darius,0
1310,No Macro Gamer,Xayah,silver 1,12,"465,692",Lucian,Lucian,6.2,5.8,7.9,Bottom,Orianna,0
1311,SaucyTriceratops,Lissandra,silver 1,12,"465,613",Lux,Janna,3.5,4.9,14.1,Support,Nami,1
1312,Sackless Coward,Jinx,silver 1,12,"420,119",Jinx,Jinx,10.1,7.0,8.4,Bottom,Jinx,0
1313,good hit,Kai'Sa,silver 1,12,"420,144",Thresh,Nidalee,10.5,8.6,19.6,Support,Miss Fortune,0
1314,plumsweet,Seraphine,silver 1,12,"420,186",Karma,Karma,3.3,5.4,14.7,Support,Karma,1
1315,CHOGANDA,Gangplank,silver 1,12,"420,143",Caitlyn,Gangplank,7.9,6.8,6.9,Middle,Gangplank,0
1316,ToolMasterFlex,Brand,silver 1,12,"420,142",Cho'Gath,Cho'Gath,7.0,4.4,7.6,Middle,Fizz,0
1317,Pike Place,Shen,silver 1,12,"420,153",Aatrox,Aatrox,5.8,6.5,6.1,Top,Shen,1
1318,renzyfrenzy,Kai'Sa,bronze 2,7,"1,068,691",Caitlyn,Kayle,7.3,7.1,7.3,Bottom,Lee Sin,0
1319,mooorph,Swain,bronze 2,7,"1,068,633",Seraphine,Swain,5.2,7.4,13.6,Support,Swain,1
1320,balookun,Lulu,bronze 2,7,"1,068,670",Senna,Swain,3.5,5.5,13.4,Support,Swain,1
1321,SSheesh1,Mordekaiser,bronze 2,7,"1,068,604",Yasuo,Yasuo,12.2,9.0,6.9,Middle,Yasuo,1
1322,JY is Boss,Vi,bronze 2,7,"1,068,622",Yasuo,Yasuo,8.6,5.7,5.8,Middle,Vayne,0
1323,GroBig,Jinx,gold 4,13,"380,677",Jhin,Jhin,8.5,6.4,8.4,Bottom,Jinx,1
1324,dabs4dayz,Pantheon,gold 4,13,"380,612",Kayn,Pantheon,9.1,7.7,7.7,Top,Lillia,0
1325,Oroxi,Tryndamere,gold 4,13,"380,672",Ahri,Vladimir,7.9,6.1,4.9,Middle,Sylas,1
1326,Lirae,Garen,gold 4,13,"380,695",Yorick,Senna,4.0,4.9,10.0,Support,Senna,0
1327,nitelampp,Braum,silver 4,9,"845,125",Volibear,Volibear,5.7,6.2,9.5,Jungle,Poppy,1
1328,Lil Arnies,Nocturne,silver 4,9,"845,114",Sivir,Lillia,6.9,7.0,11.1,Jungle,Kindred,1
1329,kisuk999,Lee Sin,silver 4,9,"845,150",Jayce,Fiora,6.4,4.9,5.1,Bottom,Darius,0
1330,snoom9ttam,Nasus,silver 4,9,"845,184",Volibear,Volibear,4.7,8.3,11.9,Top,Jinx,0
1331,xPuppyPower,Poppy,silver 4,9,"845,150",Poppy,Poppy,6.4,5.3,9.7,Jungle,Poppy,0
1332,Omonnyesawns,Yasuo,silver 2,11,"557,653",Jinx,Jinx,6.2,7.2,6.6,Bottom,Vayne,1
1333,Delarfin,Swain,silver 2,11,"557,630",Tristana,Gangplank,2.7,3.9,5.6,Middle,Kennen,0
1334,Ken Dripneki,Jinx,silver 2,11,"557,646",Vayne,Twitch,5.8,7.0,6.1,Bottom,Brand,1
1335,Kayn CringeChamp,Shaco,silver 2,11,"557,681",Shaco,Shaco,8.7,5.0,7.4,Jungle,Shaco,1
1336,s7ffocate,Caitlyn,silver 2,11,"557,634",Caitlyn,Caitlyn,6.6,6.9,6.7,Bottom,Caitlyn,1
1337, ChikyBombom,Mordekaiser,silver 2,11,"557,644",Mordekaiser,Mordekaiser,6.4,5.9,5.7,Top,Mordekaiser,1
1338,gmzeh,Riven,silver 2,11,"557,634",Riven,Riven,7.6,6.9,5.8,Top,Riven,0
1339,Notmiddleaged1,Kayle,silver 2,11,"557,607",Kayle,Mordekaiser,6.3,7.4,3.3,Top,Yasuo,0
1340,Sknag,Twisted Fate,silver 3,10,"693,332",Riven,Renata Glasc,6.3,8.6,11.6,Top,Jhin,0
1341,Obi1Kenoob,Kayn,silver 3,10,"693,360",Master Yi,Kayn,8.8,3.9,7.1,Jungle,Kayn,1
1342,Vuka,Lux,silver 3,10,"693,400",Gangplank,Shen,6.1,7.2,10.3,Bottom,Blitzcrank,1
1343,Crazeboy2000,Yone,silver 3,10,"693,323",Ekko,Ekko,7.0,7.9,7.4,Middle,Yasuo,0
1344,Benkee00,Jinx,silver 3,10,"693,330",Ahri,Ahri,4.6,5.4,9.7,Middle,Neeko,1
1345,Hybussa,Zed,silver 3,10,"693,306",Twitch,Zed,11.4,9.6,11.6,Middle,Yasuo,1
1346,Willay Nelson,Senna,silver 3,10,"693,393",Akshan,Katarina,7.5,6.3,9.6,Middle,Katarina,0
1347,Jimboflim,Bard,gold 1,16,"157,641",Gangplank,Shyvana,6.5,5.4,9.5,Jungle,Veigar,0
1348,MSB Matt,Gnar,gold 1,16,"157,660",Caitlyn,Samira,9.7,7.4,20.3,Bottom,Morgana,0
1349,Cryler,Yasuo,gold 1,16,"157,654",Riven,Seraphine,7.6,6.3,8.5,Middle,Zed,1
1350,Epigmenio Cruz,Kha'Zix,gold 1,16,"157,616",Graves,Senna,6.8,6.4,7.9,Jungle,Teemo,0
1351,Xibit21,Anivia,gold 1,16,"157,665",Urgot,Urgot,7.6,8.5,17.4,Top,Akali,0
